number,latency,packet size,segment size,header size,trans speed
108,0.8153915405273438,4549,4400,149,44.63131905497076
109,0.8432865142822266,4548,4400,148,43.14547829686175
110,0.8237361907958984,4547,4400,147,44.15976911837916
111,0.7746219635009766,4549,4400,149,46.98033584733764
112,0.9505748748779297,4548,4400,148,38.275785486832206
113,0.8115768432617188,4549,4400,149,44.841101988249115
114,0.8568763732910156,4548,4400,148,42.4612010951586
115,0.7915496826171875,4547,4400,147,45.955422380722894
116,0.8227825164794922,4549,4400,149,44.23040022254419
117,0.8873939514160156,4549,4400,149,41.009970759806556
118,0.8120536804199219,4547,4400,147,44.79506820434528
119,0.8122920989990234,4549,4400,149,44.801617601408864
120,1.0383129119873047,4548,4400,148,35.04145964087256
121,0.8630752563476562,4548,4400,148,42.156231142541436
122,0.8645057678222656,4548,4400,148,42.08647455488141
123,0.8213520050048828,4547,4400,147,44.28795422467344
124,0.8761882781982422,4549,4400,149,41.5344520185034
125,1.0075569152832031,4548,4400,148,36.111111390440136
126,0.8051395416259766,4549,4400,149,45.1996183500148
127,0.8053779602050781,4547,4400,147,45.16637131557134
128,0.8623600006103516,4549,4400,149,42.20047309040641
129,0.8647441864013672,4548,4400,148,42.07487089495451
130,0.8752346038818359,4547,4400,147,41.56142803159902
131,0.8215904235839844,4549,4400,149,44.29457665931515
132,0.9527206420898438,4548,4400,148,38.189578762762764
133,0.7834434509277344,4549,4400,149,46.45134241265977
134,0.9238719940185547,4547,4400,147,39.37341994941935
135,0.9102821350097656,4548,4400,148,39.970025336825564
136,0.8060932159423828,4548,4400,148,45.136219087843834
137,0.8530616760253906,4548,4400,148,42.651077902738955
138,0.8625984191894531,4547,4400,147,42.17026044886678
139,0.8184909820556641,4548,4400,148,44.45253618875619
140,0.7867813110351562,4548,4400,148,46.24410810181818
141,0.8552074432373047,4548,4400,148,42.544063768051295
142,0.9441375732421875,4548,4400,148,38.536756751515156
143,0.9202957153320312,4549,4400,149,39.54381118341969
144,0.8428096771240234,4549,4400,149,43.17938081131542
145,0.9613037109375,4547,4400,147,37.84027834920634
146,1.0371208190917969,4548,4400,148,35.08173718068966
147,1.0564327239990234,4549,4400,149,34.448005228616566
148,0.9162425994873047,4547,4400,147,39.701275645068954
149,0.8203983306884766,4549,4400,149,44.3589396012787
150,0.8120536804199219,4548,4400,148,44.80491976981797
151,0.9350776672363281,4549,4400,149,38.91869229168791
152,0.8471012115478516,4549,4400,149,42.96062796735153
153,0.8187294006347656,4549,4400,149,44.44936259988352
154,0.8702278137207031,4547,4400,147,41.80054857643835
155,0.83160400390625,4547,4400,147,43.74197313761468
156,0.9334087371826172,4549,4400,149,38.9882787146871
157,0.820159912109375,4548,4400,148,44.362080446511634
158,0.8556842803955078,4548,4400,148,42.520355735859575
159,0.8914470672607422,4549,4400,149,40.82351194650976
160,0.9517669677734375,4548,4400,148,38.2278448737475
